report_no,name,energy,protein,fat,carbohydrate,sugars,sodium,cholesterol,saturated_fat,trans_fat,dietary_fiber
20030395019784,ENERGY BOOST 아르기닌60000,383.0,54.2,0.2,41.1,0.0,15.0,0.0,0.0,0.0,0.0
20030395019806,GBR 맥주효모 비오틴 20000,360.0,30.3,1.0,57.4,0.0,100.0,0.0,0.2,0.0,0.0
20030395019825,100%유기농컬리케일,364.0,24.1,4.0,58.0,4.8,163.0,0.0,0.1,0.0,0.0
20030395019835,A부터 Z까지,377.0,1.7,0.6,91.2,29.4,42.0,0.0,0.1,0.0,0.0
20030395019876,ABC 프로틴,371.0,45.9,0.1,46.9,5.0,430.0,0.0,0.0,0.0,0.0
20030415157429,Condition BeYou Collagen Stick(컨디션 비유 콜라겐 스틱),175.0,15.0,0.0,30.0,25.0,50.0,0.0,0.0,0.0,0.0
20030415157683,1일1레몬 유기농 레몬즙,37.0,0.3,0.8,7.15,1.25,2.0,0.1,0.0,0.0,0.0
20030415157740,100% 유기농 컬리 케일,360.0,20.0,0.0,65.0,10.0,130.0,0.0,0.0,0.0,0.0
20030415157742,100% 유기농 엑스트라버진 올리브오일,900.0,0.0,100.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0
20030435223265,C&S The(더) 알찬김말이,175.0,2.0,5.0,31.0,1.0,630.0,5.0,2.4,0.0,0.0
20030435223331,C&S 핫도그D,258.0,6.15,9.23,37.69,8.46,562.0,34.61,2.77,0.0,0.0
20030435223332,C&S 크리스피 핫도그D,288.0,6.15,12.31,38.46,8.46,554.0,34.61,3.23,0.0,0.0
200304432175714,K- 로제파스타소스,130.0,2.0,2.5,25.0,8.0,900.0,2.0,1.8,0.0,0.0
20030445025822,100% 유기농 대마종자유 1000,899.0,0.08,99.0,0.2,0.0,0.0,0.0,10.4,0.1,0.0
200304450421006,CCA주스,65.0,1.0,0.0,15.0,11.0,50.0,0.0,0.0,0.0,0.0
20030445042175,5無(무)주스키즈유기농포도,70.0,0.0,0.0,17.0,15.0,5.0,0.0,0.0,0.0,0.0
